account_id,occurred_at,standard_qty,gloss_qty,poster_qty,total,standard_amt_usd,gloss_amt_usd,poster_amt_usd,total_amt_usd
1001.0,2014-12-15 00:00:00,313.0,26.0,21.0,360.0,1561.87,194.74,170.52,1927.13
1001.0,2015-01-13 00:00:00,298.0,26.0,0.0,324.0,1487.02,194.74,0.0,1681.76
1001.0,2015-02-12 00:00:00,276.0,42.0,23.0,341.0,1377.24,314.58,186.76,1878.58
1001.0,2015-03-13 00:00:00,282.0,0.0,420.0,702.0,1407.18,0.0,3410.4,4817.58
1001.0,2015-04-12 00:00:00,726.0,17.0,0.0,743.0,3622.74,127.33,0.0,3750.07
1001.0,2015-05-12 00:00:00,307.0,49.0,28.0,384.0,1531.93,367.01,227.36,2126.3
1001.0,2015-06-11 00:00:00,310.0,32.0,24.0,366.0,1546.9,239.68,194.88,1981.46
1001.0,2015-07-10 00:00:00,280.0,37.0,18.0,335.0,1397.2,277.13,146.16,1820.49
1001.0,2015-08-08 00:00:00,287.0,39.0,17.0,343.0,1432.13,292.11,138.04,1862.28
1001.0,2015-09-07 00:00:00,289.0,20.0,25.0,334.0,1442.11,149.8,203.0,1794.91
1001.0,2015-11-02 00:00:00,33.0,0.0,9.0,42.0,164.67,0.0,73.08,237.75
1001.0,2015-12-01 00:00:00,173.0,47.0,0.0,220.0,863.27,352.03,0.0,1215.3
1001.0,2015-12-31 00:00:00,303.0,26.0,9.0,338.0,1511.97,194.74,73.08,1779.79
1001.0,2016-01-30 00:00:00,497.0,26.0,0.0,523.0,2480.03,194.74,0.0,2674.77
1001.0,2016-02-28 00:00:00,300.0,45.0,6.0,351.0,1497.0,337.05,48.72,1882.77
1001.0,2016-03-28 00:00:00,295.0,42.0,164.0,501.0,1472.05,314.58,1331.68,3118.31
1001.0,2016-04-27 00:00:00,290.0,29.0,6.0,325.0,1447.1,217.21,48.72,1713.03
1001.0,2016-05-26 00:00:00,305.0,34.0,0.0,339.0,1521.95,254.66,0.0,1776.61
1001.0,2016-06-25 00:00:00,290.0,2.0,19.0,311.0,1447.1,14.98,154.28,1616.36
1001.0,2016-07-24 00:00:00,122.0,43.0,20.0,185.0,608.78,322.07,162.4,1093.25
1001.0,2016-08-23 00:00:00,303.0,0.0,14.0,317.0,1511.97,0.0,113.68,1625.65
1001.0,2016-09-21 00:00:00,320.0,21.0,31.0,372.0,1596.8,157.29,251.72,2005.81
1001.0,2016-10-20 00:00:00,303.0,20.0,39.0,362.0,1511.97,149.8,316.68,1978.45
1001.0,2016-11-19 00:00:00,316.0,0.0,15.0,331.0,1576.84,0.0,121.8,1698.64
1001.0,2016-12-18 00:00:00,323.0,46.0,7.0,376.0,1611.77,344.54,56.84,2013.15
1011.0,2015-01-01 00:00:00,294.0,22.0,51.0,367.0,1467.06,164.78,414.12,2045.96
1011.0,2015-01-31 00:00:00,272.0,38.0,23.0,333.0,1357.28,284.62,186.76,1828.66
1011.0,2015-03-01 00:00:00,0.0,59.0,43.0,102.0,0.0,441.91,349.16,791.07
1011.0,2015-03-31 00:00:00,310.0,10.0,12.0,332.0,1546.9,74.9,97.44,1719.24
1011.0,2015-04-29 00:00:00,259.0,0.0,16.0,275.0,1292.41,0.0,129.92,1422.33
1011.0,2015-05-29 00:00:00,298.0,17.0,31.0,346.0,1487.02,127.33,251.72,1866.07
1011.0,2015-06-28 00:00:00,214.0,0.0,17.0,231.0,1067.86,0.0,138.04,1205.9
